iso3,un_emissions_per_capita,owd_emissions_per_capita
ABW,40.88,25.029972
AFG,0.2985,0.2957424
AGO,0.6413,0.9866279
AIA,13.2,9.864194
ALB,1.3898,1.6334264
AND,6.675,6.399722
ARE,24.3112,26.640587
ARG,4.2741,4.503556
ARM,1.3846,1.4509143
ATG,6.2,6.440348
AUS,17.7195,18.297293
AUT,7.8839,8.608196
AZE,2.9256,3.0118616
BDI,0.0362,0.035168972
BEL,9.4676,10.468463
BEN,0.4614,0.4776112
BFA,0.1099,0.122713536
BGD,0.3363,0.3550251
BGR,5.9028,6.4402747
BHR,20.9405,23.964918
BHS,6.1676,6.0620985
BIH,5.6105,5.5478983
BLR,6.1862,6.5795755
BLZ,1.7031,1.6818045
BMU,10.2667,9.541068
BOL,1.3544,1.4455193
BRA,1.9649,2.2729201
BRB,5.325,5.6782417
BRN,17.4462,20.43478
BTN,1.17,1.2904984
BWA,2.2522,2.2316918
CAF,0.0385,0.037512567
CAN,14.5331,16.22177
CHE,4.828,5.754605
CHL,4.121,4.1525874
CHN,5.8847,6.378234
CIV,0.2694,0.27680218
CMR,0.3225,0.42624032
COG,0.4374,1.2325346
COK,3.65,4.310842
COL,1.6203,1.7032385
COM,0.2569,0.24618955
CPV,1.1235,1.0924569
CRI,1.561,1.6445795
CUB,2.8805,2.9244213
CYP,6.354,7.1839247
CZE,10.9785,11.226669
DEU,9.3066,10.227274
DJI,0.5624,0.5553598
DMA,2.4857,2.5004065
DNK,8.3243,8.864574
DOM,1.8985,2.092981
DZA,2.6276,3.2704897
ECU,2.1189,2.4061246
EGY,1.9157,2.2826967
ERI,0.1566,0.15891191
ESP,5.5978,6.0404696
EST,16.1338,14.243671
ETH,0.065,0.070071824
FIN,11.8304,11.950002
FJI,1.1604,1.1308817
FRA,5.4258,5.936185
FRO,12.92,13.077839
FSM,0.9455,0.9538296
GAB,1.5238,3.393294
GBR,7.8182,8.124633
GEO,1.5105,1.5934676
GHA,0.3522,0.35103092
GIN,0.2438,0.23895442
GMB,0.2285,0.22060432
GNB,0.1567,0.15204775
GNQ,3.7059,5.384114
GRC,7.1535,8.751199
GRD,2.3909,2.2981875
GRL,11.4667,11.996327
GTM,0.7038,0.7653512
GUY,2.572,2.5184383
HKG,5.7745,5.6413817
HND,0.9023,0.95586073
HRV,4.2837,4.8792157
HTI,0.2119,0.21797019
HUN,4.7832,5.2101455
IDN,1.6077,1.8099734
IND,1.314,1.348904
IRL,8.7629,9.166667
IRN,6.4032,7.252518
IRQ,2.9706,3.6571085
ISL,6.1094,11.398572
ISR,9.2263,9.30753
ITA,6.426,7.2420187
JAM,2.6985,2.793193
JOR,2.6705,2.825161
JPN,9.1525,9.476892
KAZ,15.0028,14.777339
KEN,0.2513,0.2923937
KGZ,1.1239,1.157307
KHM,0.3313,0.34920472
KIR,0.5455,0.5392349
KNA,4.54,4.69032
KOR,11.3616,12.18674
KWT,27.3602,30.87387
LAO,0.4044,0.47433203
LBN,3.5321,3.9665632
LBR,0.1712,0.17474402
LBY,7.1902,9.102708
LCA,2.9235,2.8511117
LIE,1.525,5.297743
LKA,0.6043,0.6250745
LSO,1.072,1.1398052
LTU,4.1258,4.465954
LUX,20.849,22.062008
LVA,3.7924,4.0777874
MAC,2.2268,2.193934
MAR,1.5403,1.6744752
MDA,1.2656,1.3300976
MDG,0.0835,0.08438057
MDV,2.6722,2.5895715
MEX,3.902,4.0168395
MHL,2.8,2.6038222
MKD,4.1259,3.9899936
MLI,0.1351,0.1309786
MLT,6.2214,6.1969185
MMR,0.2636,0.26765433
MNE,3.9889,3.8315809
MNG,5.2441,5.097577
MOZ,0.1025,0.114549376
MRT,0.6209,0.6173814
MSR,,12.165179
MUS,3.1453,3.0506911
MWI,0.065,0.06532224
MYS,6.4784,6.956578
NAM,1.3464,1.3198515
NCL,12.5462,13.982816
NER,0.0722,0.07009444
NGA,0.4893,0.6872951
NIC,0.7484,0.778716
NIU,,2.0515118
NLD,10.1256,10.869137
NOR,9.5444,9.331051
NPL,0.1619,0.17644328
NRU,4.4,4.3675375
NZL,6.9936,8.005895
OMN,16.2917,18.55976
OWID_KOS,4.7704,4.670672
PAK,0.6974,0.7739536
PAN,2.3802,2.5002084
PER,1.3706,1.4613583
PHL,0.8097,0.85738814
PLW,10.65,11.339342
PNG,0.6231,0.61763316
POL,8.2223,8.773312
PRK,2.6335,2.6156864
PRT,4.4777,4.999665
PRY,0.8526,0.8751857
PSE,0.5157,0.50623924
PYF,3.5037,3.4122894
QAT,33.0836,42.955685
ROU,3.7652,4.1251655
RUS,10.7495,11.343935
RWA,0.0546,0.05630954
SAU,18.8507,22.099583
SEN,0.4272,0.54310757
SGP,8.447,8.745289
SHN,1.1,2.0538116
SLB,0.6472,0.6187134
SLE,0.0895,0.08714396
SLV,0.9694,1.0412601
SOM,0.0513,0.049902126
SPM,6.6,10.906566
SRB,6.2093,6.17864
STP,0.6167,0.5642783
SUR,4.3236,4.3097258
SVK,6.446,7.133364
SVN,7.4588,8.050296
SWE,5.2013,5.6641645
SWZ,0.8838,0.8965124
SYC,4.5,4.667123
SYR,2.4769,2.7453432
TCA,9.6333,9.47947
TCD,0.0946,0.10038561
TGO,0.3107,0.38554198
THA,3.3413,3.5144494
TJK,0.3184,0.33146462
TKM,10.3671,10.636286
TON,1.0545,1.0915421
TTO,16.7065,33.975117
TUN,2.1993,2.6135852
TUR,3.7495,4.310934
TUV,1.0,1.0335684
TZA,0.1439,0.16073172
UGA,0.1029,0.11020472
UKR,6.5008,6.3364425
URY,1.819,1.8977865
USA,17.2474,18.259064
UZB,3.5248,3.79299
VCT,2.0727,1.9989816
VEN,6.1388,6.5705085
VGB,7.2333,7.6727443
VNM,1.3518,1.5958333
VUT,0.5333,0.5074856
WLF,2.7,2.2226267
WSM,0.9947,0.94905066
YEM,0.8455,0.96109116
ZAF,9.0015,8.845317
ZMB,0.1975,0.2234277
ZWE,0.6535,0.6554096
