country,un_emissions_per_capita
Aruba,40.88
Qatar,33.0836
Kuwait,27.3602
United Arab Emirates,24.3112
Bahrain,20.9405
Luxembourg,20.849
Saudi Arabia,18.8507
Australia,17.7195
Brunei Darussalam,17.4462
United States of America,17.2474
Trinidad and Tobago,16.7065
Oman,16.2917
Estonia,16.1338
Gibraltar,15.9667
Kazakhstan,15.0028
Canada,14.5331
Anguilla,13.2
Faroe Islands,12.92
New Caledonia,12.5462
Finland,11.8304
Cayman Islands,11.5
Greenland,11.4667
Republic of Korea,11.3616
Czechia,10.9785
Northern Mariana Islands,10.94
Russian Federation,10.7495
Palau,10.65
Turkmenistan,10.3671
Bermuda,10.2667
Netherlands (Kingdom of the),10.1256
Turks and Caicos Islands,9.6333
Norway,9.5444
Belgium,9.4676
Germany,9.3066
Israel,9.2263
Japan,9.1525
South Africa,9.0015
Ireland,8.7629
Singapore,8.447
American Samoa,8.35
Denmark,8.3243
Poland,8.2223
Austria,7.8839
United Kingdom,7.8182
Europe,7.7419
Slovenia,7.4588
British Virgin Islands,7.2333
Libya,7.1902
Greece,7.1535
New Zealand,6.9936
Andorra,6.675
Saint Pierre and Miquelon,6.6
Ukraine,6.5008
Malaysia,6.4784
Slovakia,6.446
Italy,6.426
Iran (Islamic Republic of),6.4032
Cyprus,6.354
Malta,6.2214
Serbia,6.2093
Antigua and Barbuda,6.2
Belarus,6.1862
Bahamas,6.1676
Venezuela (Boliv. Rep. of),6.1388
Iceland,6.1094
Bulgaria,5.9028
China,5.8847
"China, Hong Kong SAR",5.7745
Bosnia and Herzegovina,5.6105
Spain,5.5978
Guadeloupe,5.4878
France,5.4258
Barbados,5.325
Mongolia,5.2441
Sweden,5.2013
Martinique,5.19
Switzerland,4.828
Hungary,4.7832
Kosovo,4.7704
Réunion,4.6786
Saint Kitts and Nevis,4.54
Seychelles,4.5
Portugal,4.4777
Nauru,4.4
Suriname,4.3236
Croatia,4.2837
Argentina,4.2741
North Macedonia,4.1259
Lithuania,4.1258
Chile,4.121
South America,4.023
Montenegro,3.9889
Mexico,3.902
Latvia,3.7924
Romania,3.7652
Türkiye,3.7495
Equatorial Guinea,3.7059
Cook Islands,3.65
Asia,3.6245
Lebanon,3.5321
Uzbekistan,3.5248
French Polynesia,3.5037
Thailand,3.3413
Mauritius,3.1453
Iraq,2.9706
Azerbaijan,2.9256
Saint Lucia,2.9235
Cuba,2.8805
French Guiana,2.8435
Marshall Islands,2.8
Wallis and Futuna Islands,2.7
Jamaica,2.6985
Isle of Man,2.6875
Maldives,2.6722
Jordan,2.6705
Dem. People's Rep. Korea,2.6335
Algeria,2.6276
Guyana,2.572
Dominica,2.4857
Syrian Arab Republic,2.4769
Grenada,2.3909
Panama,2.3802
Botswana,2.2522
"China, Macao SAR",2.2268
Tunisia,2.1993
Ecuador,2.1189
Saint Vincent & Grenadines,2.0727
Brazil,1.9649
Egypt,1.9157
Dominican Republic,1.8985
Uruguay,1.819
Belize,1.7031
Colombia,1.6203
Indonesia,1.6077
Costa Rica,1.561
Morocco,1.5403
Liechtenstein,1.525
Gabon,1.5238
Georgia,1.5105
Albania,1.3898
Armenia,1.3846
Peru,1.3706
Bolivia (Plurin. State of),1.3544
Viet Nam,1.3518
Mayotte,1.3476
Namibia,1.3464
India,1.314
Republic of Moldova,1.2656
Bhutan,1.17
Fiji,1.1604
Kyrgyzstan,1.1239
Cabo Verde,1.1235
Saint Helena,1.1
Lesotho,1.072
Tonga,1.0545
Africa,1.0182
Tuvalu,1.0
Samoa,0.9947
El Salvador,0.9694
Micronesia (Fed. States of),0.9455
Honduras,0.9023
Eswatini,0.8838
Paraguay,0.8526
Yemen,0.8455
Philippines,0.8097
Nicaragua,0.7484
Guatemala,0.7038
Pakistan,0.6974
Zimbabwe,0.6535
Solomon Islands,0.6472
Angola,0.6413
Papua New Guinea,0.6231
Mauritania,0.6209
Sao Tome and Principe,0.6167
Sri Lanka,0.6043
Djibouti,0.5624
Kiribati,0.5455
Vanuatu,0.5333
State of Palestine,0.5157
Nigeria,0.4893
Benin,0.4614
Congo,0.4374
Senegal,0.4272
Puerto Rico,0.4086
Lao People's Dem. Rep.,0.4044
Ghana,0.3522
Bangladesh,0.3363
Cambodia,0.3313
Cameroon,0.3225
Tajikistan,0.3184
Togo,0.3107
Afghanistan,0.2985
Côte d’Ivoire,0.2694
Myanmar,0.2636
Comoros,0.2569
Kenya,0.2513
Guinea,0.2438
Gambia,0.2285
Timor-Leste,0.225
Haiti,0.2119
Zambia,0.1975
Liberia,0.1712
Nepal,0.1619
Guinea-Bissau,0.1567
Eritrea,0.1566
United Rep. of Tanzania,0.1439
Mali,0.1351
Burkina Faso,0.1099
Uganda,0.1029
Mozambique,0.1025
Chad,0.0946
Sierra Leone,0.0895
Madagascar,0.0835
Niger,0.0722
Ethiopia,0.065
Malawi,0.065
Rwanda,0.0546
Somalia,0.0513
Central African Republic,0.0385
Burundi,0.0362
Dem. Rep. of the Congo,0.0264
